,Unnamed: 0,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bins,Total_spaces_new
106,106,Glenroy,3,h,Ray,09/03/2016,13,3046,3,1,2,696,Northern Metropolitan,8870,610000,Nearby,6
107,107,Glenroy,3,t,Brad,09/03/2016,13,3046,2,1,1,145,Northern Metropolitan,8870,480000,Nearby,4
108,108,Glenroy,3,h,Barry,09/03/2016,13,3046,3,1,1,482,Northern Metropolitan,8870,681500,Nearby,5
109,109,Glenroy,3,h,Nelson,09/03/2016,13,3046,3,1,1,482,Northern Metropolitan,8870,640000,Nearby,5
110,110,Glenroy,3,h,Eview,09/03/2016,13,3046,3,1,1,482,Northern Metropolitan,8870,712000,Nearby,5
111,111,Gowanbrae,3,h,Nelson,09/03/2016,13.6,3043,3,2,2,608,Western Metropolitan,1071,631000,Nearby,7
112,112,Gowanbrae,3,t,Nelson,09/03/2016,13.6,3043,3,2,1,149,Western Metropolitan,1071,532000,Nearby,6
113,113,Hadfield,3,h,hockingstuart,09/03/2016,12.1,3046,3,1,2,597,Northern Metropolitan,2606,605000,Nearby,6
114,114,Hadfield,3,h,Stockdale,09/03/2016,12.1,3046,3,1,1,482,Northern Metropolitan,2606,570000,Nearby,5
115,115,Hadfield,3,h,Brad,09/03/2016,12.1,3046,3,1,2,724,Northern Metropolitan,2606,685500,Nearby,6
116,116,Hampton,2,u,hockingstuart,09/03/2016,13.7,3188,2,1,1,228,Southern Metropolitan,5454,895000,Nearby,4
117,117,Hampton,2,u,Ray,09/03/2016,13.7,3188,2,1,1,50,Southern Metropolitan,5454,587000,Nearby,4
118,118,Hampton,4,h,Nick,09/03/2016,13.7,3188,3,3,2,701,Southern Metropolitan,5454,2800000,Nearby,8
119,119,Hampton,2,u,Buxton,09/03/2016,13.7,3188,2,1,1,832,Southern Metropolitan,5454,720000,Nearby,4
120,120,Hampton,4,h,hockingstuart,09/03/2016,13.7,3188,4,3,2,928,Southern Metropolitan,5454,3250000,Nearby,9
121,121,Hampton East,4,h,Marshall,09/03/2016,14.5,3188,3,1,1,593,Southern Metropolitan,2356,1525000,Nearby,5
122,122,Hawthorn,4,h,Jellis,09/03/2016,4.6,3122,4,2,2,317,Southern Metropolitan,11308,1650000,Nearby,8
123,123,Heidelberg Heights,2,h,Fletchers,09/03/2016,10.5,3081,2,1,2,589,Eastern Metropolitan,2947,815000,Nearby,5
124,124,Heidelberg West,5,h,Nelson,09/03/2016,9.4,3081,3,2,2,415,Eastern Metropolitan,2674,765000,Nearby,7
125,125,Heidelberg West,3,h,Haughton,09/03/2016,9.4,3081,2,1,2,624,Eastern Metropolitan,2674,691000,Nearby,5
126,126,Hughesdale,2,h,Woodards,09/03/2016,13,3166,2,1,1,732,Southern Metropolitan,3145,1550000,Nearby,4
127,127,Hughesdale,2,u,Ray,09/03/2016,13,3166,2,1,1,50,Southern Metropolitan,3145,516000,Nearby,4
128,128,Ivanhoe,2,u,Miles,09/03/2016,7.9,3079,2,1,1,50,Eastern Metropolitan,5549,480000,Nearby,4
129,129,Keilor East,3,h,Nelson,09/03/2016,12.8,3033,3,2,2,683,Western Metropolitan,5629,703000,Nearby,7
130,130,Keilor East,3,h,Nelson,09/03/2016,12.8,3033,3,1,1,537,Western Metropolitan,5629,680000,Nearby,5
131,131,Keilor East,3,h,Barry,09/03/2016,12.8,3033,3,1,1,538,Western Metropolitan,5629,650000,Nearby,5
132,132,Kensington,3,h,Nelson,09/03/2016,4.2,3031,2,1,1,258,Northern Metropolitan,5263,785000,Nearby,4
133,133,Kensington,3,h,Nelson,09/03/2016,4.2,3031,3,1,1,166,Northern Metropolitan,5263,852000,Nearby,5
134,134,Kensington,3,h,Rendina,09/03/2016,4.2,3031,3,1,1,188,Northern Metropolitan,5263,1037000,Nearby,5
135,135,Kew,3,h,Jellis,09/03/2016,5.6,3101,3,1,2,396,Southern Metropolitan,10331,1635000,Nearby,6
136,136,Kew,2,h,Jellis,09/03/2016,5.6,3101,2,2,1,697,Southern Metropolitan,10331,4800000,Nearby,5
137,137,Kew,3,u,Jellis,09/03/2016,5.6,3101,1,1,1,50,Southern Metropolitan,10331,970000,Nearby,3
138,138,Kew,5,h,Jellis,09/03/2016,5.6,3101,3,1,1,593,Southern Metropolitan,10331,6240000,Nearby,5
139,139,Kew East,4,h,Marshall,09/03/2016,7.5,3102,3,1,1,593,Southern Metropolitan,2671,2040000,Nearby,5
140,140,Kew East,4,h,Marshall,09/03/2016,7.5,3102,3,2,2,712,Southern Metropolitan,2671,2490000,Nearby,7
141,141,Kew East,2,u,Nelson,09/03/2016,7.5,3102,2,1,1,50,Southern Metropolitan,2671,620000,Nearby,4
142,142,Maidstone,3,h,Sweeney,09/03/2016,9.2,3012,3,1,3,564,Western Metropolitan,3873,670000,Nearby,7
143,143,Maidstone,3,t,Jas,09/03/2016,9.2,3012,3,2,2,165,Western Metropolitan,3873,615000,Nearby,7
144,144,Maidstone,3,h,Burnham,09/03/2016,9.2,3012,3,1,1,576,Western Metropolitan,3873,715000,Nearby,5
145,145,Maidstone,4,h,Rendina,09/03/2016,9.2,3012,4,2,2,308,Western Metropolitan,3873,826000,Nearby,8
146,146,Malvern,3,h,Jellis,09/03/2016,7.4,3144,3,1,1,593,Southern Metropolitan,4675,2500000,Nearby,5
147,147,Malvern,4,h,Jellis,09/03/2016,7.4,3144,3,1,1,593,Southern Metropolitan,4675,3850000,Nearby,5
148,148,Malvern East,3,h,Marshall,09/03/2016,11.2,3145,3,1,1,322,Southern Metropolitan,8801,1490000,Nearby,5
149,149,Malvern East,3,h,Marshall,09/03/2016,11.2,3145,3,2,1,337,Southern Metropolitan,8801,1210000,Nearby,6
150,150,Malvern East,4,h,J,09/03/2016,11.2,3145,3,2,2,644,Southern Metropolitan,8801,1300000,Nearby,7
151,151,Malvern East,4,h,Thomson,09/03/2016,11.2,3145,3,2,3,727,Southern Metropolitan,8801,1675000,Nearby,9
152,152,Melbourne,1,u,RT,09/03/2016,2.8,3000,1,1,1,50,Northern Metropolitan,17496,400000,Nearby,3
153,153,Middle Park,3,h,Cayzer,09/03/2016,4.1,3206,3,1,1,279,Southern Metropolitan,2019,2600000,Nearby,5
154,154,Mont Albert,2,h,Lindellas,09/03/2016,11.8,3127,2,1,1,613,Eastern Metropolitan,2079,1320000,Nearby,4
155,155,Mont Albert,4,h,Jellis,09/03/2016,11.8,3127,4,2,2,1286.5,Eastern Metropolitan,2079,2850000,Nearby,8
156,156,Moonee Ponds,3,u,Nelson,09/03/2016,6.9,3039,3,2,2,50,Western Metropolitan,6232,670000,Nearby,7
157,157,Moorabbin,3,h,Buxton,09/03/2016,14.6,3189,3,1,3,834,Southern Metropolitan,2555,1224000,Nearby,7
158,158,Moorabbin,3,h,Buxton,09/03/2016,14.6,3189,3,1,3,771,Southern Metropolitan,2555,1020000,Nearby,7
159,159,Moorabbin,3,h,O'Brien,09/03/2016,14.6,3189,3,2,2,573,Southern Metropolitan,2555,1000000,Nearby,7
160,160,Moorabbin,1,u,Ray,09/03/2016,14.6,3189,1,1,1,106,Southern Metropolitan,2555,380500,Nearby,3
161,161,Newport,3,h,Sweeney,09/03/2016,8.4,3015,3,2,2,301,Western Metropolitan,5498,1025000,Nearby,7
162,162,Newport,3,h,Village,09/03/2016,8.4,3015,2,1,2,281,Western Metropolitan,5498,826000,Nearby,5
163,163,Niddrie,3,t,Barry,09/03/2016,11.2,3042,3,3,2,303,Western Metropolitan,2291,830000,Nearby,8
164,164,Niddrie,4,t,Barry,09/03/2016,11.2,3042,2,1,1,200,Western Metropolitan,2291,1065000,Nearby,4
165,165,Niddrie,3,h,McDonald,09/03/2016,11.2,3042,3,2,2,274,Western Metropolitan,2291,780000,Nearby,7
166,166,Niddrie,3,h,Brad,09/03/2016,11.2,3042,3,1,1,537,Western Metropolitan,2291,950000,Nearby,5
167,167,North Melbourne,4,h,Nelson,09/03/2016,2.3,3051,4,3,3,310,Northern Metropolitan,6821,2920000,Nearby,11
168,168,North Melbourne,3,h,Nelson,09/03/2016,2.3,3051,2,1,0,517,Northern Metropolitan,6821,1635000,Nearby,3
169,169,North Melbourne,1,u,Nelson,09/03/2016,2.3,3051,1,1,1,50,Northern Metropolitan,6821,491000,Nearby,3
170,170,Northcote,2,h,McGrath,09/03/2016,5.5,3070,2,1,1,245,Northern Metropolitan,11364,1286000,Nearby,4
171,171,Northcote,3,h,Nelson,09/03/2016,5.5,3070,3,1,1,215,Northern Metropolitan,11364,1200000,Nearby,5
172,172,Northcote,3,h,Nelson,09/03/2016,5.5,3070,3,2,2,286,Northern Metropolitan,11364,1382500,Nearby,7
173,173,Northcote,2,u,McGrath,09/03/2016,5.5,3070,2,2,1,50,Northern Metropolitan,11364,630000,Nearby,5
174,174,Northcote,4,h,Jellis,09/03/2016,5.5,3070,4,2,1,464,Northern Metropolitan,11364,1600000,Nearby,7
175,175,Oak Park,4,t,Brad,09/03/2016,11.5,3046,2,1,1,145,Northern Metropolitan,2651,670000,Nearby,4
176,176,Oak Park,3,h,Nelson,09/03/2016,11.5,3046,3,1,3,757,Northern Metropolitan,2651,892000,Nearby,7
177,177,Oak Park,2,h,Barry,09/03/2016,11.5,3046,2,1,2,577,Northern Metropolitan,2651,592000,Nearby,5
178,178,Oakleigh South,4,h,Woodards,09/03/2016,14.7,3167,3,1,2,632,South-Eastern Metropolitan,3692,991000,Nearby,6
179,179,Oakleigh South,2,h,Buxton,09/03/2016,14.7,3167,3,1,2,632,South-Eastern Metropolitan,3692,1242000,Nearby,6
180,180,Oakleigh South,2,t,Buxton,09/03/2016,14.7,3167,2,1,1,248,South-Eastern Metropolitan,3692,665000,Nearby,4
181,181,Oakleigh South,3,t,Fletchers,09/03/2016,14.7,3167,3,2,1,189,South-Eastern Metropolitan,3692,680000,Nearby,6
182,182,Parkville,4,h,Nelson,09/03/2016,2.6,3052,4,2,2,357,Northern Metropolitan,2309,1230000,Nearby,8
183,183,Pascoe Vale,3,h,Brad,09/03/2016,9.9,3044,2,1,2,100,Northern Metropolitan,7485,1120000,Nearby,5
184,184,Pascoe Vale,3,h,Nelson,09/03/2016,9.9,3044,3,1,3,560,Northern Metropolitan,7485,770000,Nearby,8
185,185,Port Melbourne,2,u,Biggin,09/03/2016,3.8,3207,2,2,1,50,Southern Metropolitan,8648,1100000,Nearby,5
186,186,Port Melbourne,2,u,Greg,09/03/2016,3.8,3207,1,1,1,50,Southern Metropolitan,8648,650000,Nearby,3
187,187,Port Melbourne,3,h,Marshall,09/03/2016,3.8,3207,3,1,1,593,Southern Metropolitan,8648,1681000,Nearby,5
188,188,Prahran,2,u,Hodges,09/03/2016,4.5,3181,2,1,1,50,Southern Metropolitan,7717,650000,Nearby,4
189,189,Prahran,1,u,hockingstuart,09/03/2016,4.5,3181,1,1,1,50,Southern Metropolitan,7717,342000,Nearby,3
190,190,Prahran,4,h,Marshall,09/03/2016,4.5,3181,3,1,1,593,Southern Metropolitan,7717,2680000,Nearby,5
191,191,Prahran,2,h,hockingstuart,09/03/2016,4.5,3181,2,1,1,88,Southern Metropolitan,7717,950000,Nearby,4
192,192,Prahran,2,u,Wilson,09/03/2016,4.5,3181,2,1,1,50,Southern Metropolitan,7717,781000,Nearby,4
193,193,Preston,3,h,Harcourts,09/03/2016,8.8,3072,3,1,2,644,Northern Metropolitan,14577,1250000,Nearby,6
194,194,Preston,3,h,Ray,09/03/2016,8.8,3072,3,1,2,584,Northern Metropolitan,14577,855000,Nearby,6
195,195,Preston,4,h,Ray,09/03/2016,8.8,3072,4,2,2,604,Northern Metropolitan,14577,930000,Nearby,8
196,196,Preston,4,h,Nelson,09/03/2016,8.8,3072,4,2,1,530,Northern Metropolitan,14577,900000,Nearby,7
197,197,Preston,3,h,Barry,09/03/2016,8.8,3072,3,1,1,482,Northern Metropolitan,14577,1030000,Nearby,5
198,198,Preston,4,h,Nelson,09/03/2016,8.8,3072,3,0,0,650,Northern Metropolitan,14577,1004000,Nearby,3
199,199,Preston,2,u,hockingstuart,09/03/2016,8.8,3072,1,1,1,50,Northern Metropolitan,14577,540000,Nearby,3
200,200,Preston,3,h,Barry,09/03/2016,8.8,3072,3,1,2,518,Northern Metropolitan,14577,930000,Nearby,6
201,201,Reservoir,3,u,Barry,09/03/2016,11.2,3073,1,1,1,50,Northern Metropolitan,21650,666000,Nearby,3
202,202,Reservoir,3,u,Ray,09/03/2016,11.2,3073,3,1,1,191,Northern Metropolitan,21650,475000,Nearby,5
203,203,Reservoir,3,h,Nelson,09/03/2016,11.2,3073,3,1,1,482,Northern Metropolitan,21650,738000,Nearby,5
204,204,Reservoir,2,t,Barry,09/03/2016,11.2,3073,2,1,1,145,Northern Metropolitan,21650,355000,Nearby,4
205,205,Reservoir,3,h,Stockdale,09/03/2016,11.2,3073,3,1,1,482,Northern Metropolitan,21650,590000,Nearby,5
206,206,Reservoir,2,u,Ray,09/03/2016,11.2,3073,2,1,1,189,Northern Metropolitan,21650,415000,Nearby,4
207,207,Reservoir,2,h,Nelson,09/03/2016,11.2,3073,3,1,1,482,Northern Metropolitan,21650,428000,Nearby,5
208,208,Richmond,2,h,Biggin,09/03/2016,2.6,3121,2,1,1,125,Northern Metropolitan,14949,937000,Nearby,4
209,209,Richmond,3,h,Biggin,09/03/2016,2.6,3121,2,1,0,203,Northern Metropolitan,14949,1260000,Nearby,3
210,210,Richmond,3,h,Biggin,09/03/2016,2.6,3121,3,1,1,482,Northern Metropolitan,14949,1820000,Nearby,5
211,211,Richmond,3,t,Jellis,09/03/2016,2.6,3121,3,2,1,675,Northern Metropolitan,14949,1236000,Nearby,6
212,212,Richmond,2,u,LITTLE,09/03/2016,2.6,3121,2,2,1,656,Northern Metropolitan,14949,540000,Nearby,5
213,213,Richmond,2,u,hockingstuart,09/03/2016,2.6,3121,2,1,2,50,Northern Metropolitan,14949,795250,Nearby,5
