,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bins,Total_spaces_new
51,Bulleen,3,u,Jellis,2016-03-09,11.8,3105.0,3,1,2,385.0,Eastern Metropolitan,4480,851000,Nearby,6
52,Bulleen,4,h,Jellis,2016-03-09,11.8,3105.0,4,1,2,717.0,Eastern Metropolitan,4480,1300000,Nearby,7
53,Bulleen,4,h,Barry,2016-03-09,11.8,3105.0,3,2,2,562.0,Eastern Metropolitan,4480,1110000,Nearby,7
54,Bulleen,4,h,Jellis,2016-03-09,11.8,3105.0,4,2,2,556.0,Eastern Metropolitan,4480,1235000,Nearby,8
55,Burwood,5,h,Jellis,2016-03-09,11.7,3125.0,4,3,2,661.0,Southern Metropolitan,5678,1590000,Nearby,9
56,Camberwell,4,h,Jellis,2016-03-09,7.8,3124.0,4,2,1,652.0,Southern Metropolitan,8920,2650000,Nearby,7
57,Camberwell,3,t,Marshall,2016-03-09,7.8,3124.0,3,1,2,389.0,Southern Metropolitan,8920,1615000,Nearby,6
58,Camberwell,4,h,RT,2016-03-09,7.8,3124.0,4,3,2,934.0,Southern Metropolitan,8920,3225000,Nearby,9
59,Canterbury,4,h,Marshall,2016-03-09,9.0,3126.0,4,2,2,687.0,Southern Metropolitan,3265,2950000,Nearby,8
60,Carlton North,3,h,Nelson,2016-03-09,3.2,3054.0,3,1,1,314.0,Northern Metropolitan,3106,1330000,Nearby,5
61,Carnegie,3,u,Ray,2016-03-09,11.4,3163.0,3,1,2,50.0,Southern Metropolitan,7822,820000,Nearby,6
62,Carnegie,2,t,Gary,2016-03-09,11.4,3163.0,2,2,1,133.0,Southern Metropolitan,7822,795000,Nearby,5
63,Caulfield,2,u,Gary,2016-03-09,8.9,3162.0,2,1,1,50.0,Southern Metropolitan,2379,722500,Nearby,4
64,Caulfield North,3,h,McGrath,2016-03-09,8.1,3161.0,3,1,0,513.0,Southern Metropolitan,6923,1365000,Nearby,4
65,Caulfield North,3,h,Marshall,2016-03-09,8.1,3161.0,3,2,2,692.0,Southern Metropolitan,6923,1750000,Nearby,7
66,Caulfield South,3,h,hockingstuart,2016-03-09,9.3,3162.0,3,2,2,357.0,Southern Metropolitan,5051,1577500,Nearby,7
67,Caulfield South,4,h,Gary,2016-03-09,9.3,3162.0,3,1,1,593.0,Southern Metropolitan,5051,1802000,Nearby,5
68,Chadstone,3,t,Buxton,2016-03-09,13.6,3148.0,3,2,1,182.0,Southern Metropolitan,3582,752000,Nearby,6
69,Chadstone,2,u,Buxton,2016-03-09,13.6,3148.0,1,1,1,50.0,Southern Metropolitan,3582,670000,Nearby,3
70,Clifton Hill,3,h,Nelson,2016-03-09,3.4,3068.0,3,2,0,187.0,Northern Metropolitan,2954,1270000,Nearby,5
71,Coburg,2,h,Brad,2016-03-09,7.8,3058.0,2,1,1,371.0,Northern Metropolitan,11204,850000,Nearby,4
72,Coburg,3,h,Nelson,2016-03-09,7.8,3058.0,2,1,1,286.0,Northern Metropolitan,11204,784000,Nearby,4
73,Coburg North,3,h,Nelson,2016-03-09,9.2,3058.0,3,1,1,482.0,Northern Metropolitan,3445,845000,Nearby,5
74,Collingwood,2,t,Jellis,2016-03-09,1.6,3066.0,2,1,1,115.0,Northern Metropolitan,4553,750000,Nearby,4
75,Collingwood,2,h,LITTLE,2016-03-09,1.6,3066.0,2,1,1,178.0,Northern Metropolitan,4553,890000,Nearby,4
76,Collingwood,2,u,Jellis,2016-03-09,1.6,3066.0,2,1,1,50.0,Northern Metropolitan,4553,1260000,Nearby,4
77,Collingwood,2,u,Nelson,2016-03-09,1.6,3066.0,2,1,1,2886.0,Northern Metropolitan,4553,855000,Nearby,4
78,Doncaster,4,h,Barry,2016-03-09,13.9,3108.0,4,4,2,1157.0,Eastern Metropolitan,9028,1924500,Nearby,10
79,Doncaster,4,h,Barry,2016-03-09,13.9,3108.0,3,1,1,693.5,Eastern Metropolitan,9028,1416000,Nearby,5
80,Doncaster,2,u,Barry,2016-03-09,13.9,3108.0,2,1,1,65.0,Eastern Metropolitan,9028,492500,Nearby,4
81,Elsternwick,2,h,Gary,2016-03-09,8.5,3185.0,2,1,2,239.0,Southern Metropolitan,4898,900000,Nearby,5
82,Elwood,1,u,Chisholm,2016-03-09,7.7,3184.0,1,1,1,50.0,Southern Metropolitan,8989,520000,Nearby,3
83,Elwood,3,t,hockingstuart,2016-03-09,7.7,3184.0,3,2,2,1170.0,Southern Metropolitan,8989,1350000,Nearby,7
84,Essendon,3,h,Jellis,2016-03-09,8.0,3040.0,3,2,2,684.0,Western Metropolitan,9264,1425000,Nearby,7
85,Essendon,2,u,Barry,2016-03-09,8.0,3040.0,2,1,1,263.0,Western Metropolitan,9264,660000,Nearby,4
86,Essendon,2,u,Nelson,2016-03-09,8.0,3040.0,2,1,1,50.0,Western Metropolitan,9264,550000,Nearby,4
87,Essendon North,2,u,Barry,2016-03-09,9.4,3041.0,2,1,1,50.0,Western Metropolitan,1308,396000,Nearby,4
88,Fairfield,3,h,Jellis,2016-03-09,5.8,3078.0,3,2,0,327.0,Northern Metropolitan,2970,1250000,Nearby,5
89,Fitzroy,2,h,Nelson,2016-03-09,1.6,3065.0,2,1,0,128.0,Northern Metropolitan,5825,1000000,Nearby,3
90,Fitzroy,3,h,Nelson,2016-03-09,1.6,3065.0,3,2,2,50.0,Northern Metropolitan,5825,1252000,Nearby,7
91,Fitzroy North,2,u,Woodards,2016-03-09,3.5,3068.0,2,2,1,4332.0,Northern Metropolitan,6244,700000,Nearby,5
92,Fitzroy North,2,h,Woodards,2016-03-09,3.5,3068.0,2,1,0,104.0,Northern Metropolitan,6244,860000,Nearby,3
93,Fitzroy North,2,h,Nelson,2016-03-09,3.5,3068.0,2,1,0,107.0,Northern Metropolitan,6244,870000,Nearby,3
94,Fitzroy North,2,h,Nelson,2016-03-09,3.5,3068.0,3,1,0,152.0,Northern Metropolitan,6244,1116000,Nearby,4
95,Fitzroy North,4,h,Nelson,2016-03-09,3.5,3068.0,4,2,1,266.0,Northern Metropolitan,6244,1450000,Nearby,7
96,Fitzroy North,2,t,Nelson,2016-03-09,3.5,3068.0,2,3,0,2778.0,Northern Metropolitan,6244,930000,Nearby,5
97,Flemington,2,h,Nelson,2016-03-09,4.4,3031.0,2,1,1,168.0,Northern Metropolitan,3593,865500,Nearby,4
98,Footscray,3,t,Nelson,2016-03-09,6.4,3011.0,3,1,1,259.0,Western Metropolitan,7570,585000,Nearby,5
99,Footscray,1,u,Burnham,2016-03-09,6.4,3011.0,1,1,0,50.0,Western Metropolitan,7570,85000,Nearby,2
100,Glen Iris,3,h,hockingstuart,2016-03-09,9.2,3146.0,3,2,3,680.0,Southern Metropolitan,10412,1735000,Nearby,8
101,Glen Iris,2,u,Noel,2016-03-09,9.2,3146.0,1,1,1,50.0,Southern Metropolitan,10412,490000,Nearby,3
102,Glen Iris,2,h,Jellis,2016-03-09,9.2,3146.0,3,1,2,653.0,Southern Metropolitan,10412,1699000,Nearby,6
103,Glen Iris,4,h,Kay,2016-03-09,9.2,3146.0,4,3,2,856.0,Southern Metropolitan,10412,3400000,Nearby,9
104,Glen Iris,5,h,Abercromby's,2016-03-09,9.2,3146.0,4,3,2,919.0,Southern Metropolitan,10412,3730000,Nearby,9
105,Glenroy,3,t,Stockdale,2016-03-09,13.0,3046.0,2,1,1,145.0,Northern Metropolitan,8870,585000,Nearby,4
106,Glenroy,3,h,Ray,2016-03-09,13.0,3046.0,3,1,2,696.0,Northern Metropolitan,8870,610000,Nearby,6
107,Glenroy,3,t,Brad,2016-03-09,13.0,3046.0,2,1,1,145.0,Northern Metropolitan,8870,480000,Nearby,4
108,Glenroy,3,h,Barry,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,681500,Nearby,5
109,Glenroy,3,h,Nelson,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,640000,Nearby,5
110,Glenroy,3,h,Eview,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,712000,Nearby,5
111,Gowanbrae,3,h,Nelson,2016-03-09,13.6,3043.0,3,2,2,608.0,Western Metropolitan,1071,631000,Nearby,7
112,Gowanbrae,3,t,Nelson,2016-03-09,13.6,3043.0,3,2,1,149.0,Western Metropolitan,1071,532000,Nearby,6
113,Hadfield,3,h,hockingstuart,2016-03-09,12.1,3046.0,3,1,2,597.0,Northern Metropolitan,2606,605000,Nearby,6
114,Hadfield,3,h,Stockdale,2016-03-09,12.1,3046.0,3,1,1,482.0,Northern Metropolitan,2606,570000,Nearby,5
115,Hadfield,3,h,Brad,2016-03-09,12.1,3046.0,3,1,2,724.0,Northern Metropolitan,2606,685500,Nearby,6
116,Hampton,2,u,hockingstuart,2016-03-09,13.7,3188.0,2,1,1,228.0,Southern Metropolitan,5454,895000,Nearby,4
117,Hampton,2,u,Ray,2016-03-09,13.7,3188.0,2,1,1,50.0,Southern Metropolitan,5454,587000,Nearby,4
118,Hampton,4,h,Nick,2016-03-09,13.7,3188.0,3,3,2,701.0,Southern Metropolitan,5454,2800000,Nearby,8
119,Hampton,2,u,Buxton,2016-03-09,13.7,3188.0,2,1,1,832.0,Southern Metropolitan,5454,720000,Nearby,4
120,Hampton,4,h,hockingstuart,2016-03-09,13.7,3188.0,4,3,2,928.0,Southern Metropolitan,5454,3250000,Nearby,9
121,Hampton East,4,h,Marshall,2016-03-09,14.5,3188.0,3,1,1,593.0,Southern Metropolitan,2356,1525000,Nearby,5
122,Hawthorn,4,h,Jellis,2016-03-09,4.6,3122.0,4,2,2,317.0,Southern Metropolitan,11308,1650000,Nearby,8
123,Heidelberg Heights,2,h,Fletchers,2016-03-09,10.5,3081.0,2,1,2,589.0,Eastern Metropolitan,2947,815000,Nearby,5
124,Heidelberg West,5,h,Nelson,2016-03-09,9.4,3081.0,3,2,2,415.0,Eastern Metropolitan,2674,765000,Nearby,7
125,Heidelberg West,3,h,Haughton,2016-03-09,9.4,3081.0,2,1,2,624.0,Eastern Metropolitan,2674,691000,Nearby,5
126,Hughesdale,2,h,Woodards,2016-03-09,13.0,3166.0,2,1,1,732.0,Southern Metropolitan,3145,1550000,Nearby,4
127,Hughesdale,2,u,Ray,2016-03-09,13.0,3166.0,2,1,1,50.0,Southern Metropolitan,3145,516000,Nearby,4
128,Ivanhoe,2,u,Miles,2016-03-09,7.9,3079.0,2,1,1,50.0,Eastern Metropolitan,5549,480000,Nearby,4
129,Keilor East,3,h,Nelson,2016-03-09,12.8,3033.0,3,2,2,683.0,Western Metropolitan,5629,703000,Nearby,7
130,Keilor East,3,h,Nelson,2016-03-09,12.8,3033.0,3,1,1,537.0,Western Metropolitan,5629,680000,Nearby,5
131,Keilor East,3,h,Barry,2016-03-09,12.8,3033.0,3,1,1,538.0,Western Metropolitan,5629,650000,Nearby,5
132,Kensington,3,h,Nelson,2016-03-09,4.2,3031.0,2,1,1,258.0,Northern Metropolitan,5263,785000,Nearby,4
133,Kensington,3,h,Nelson,2016-03-09,4.2,3031.0,3,1,1,166.0,Northern Metropolitan,5263,852000,Nearby,5
134,Kensington,3,h,Rendina,2016-03-09,4.2,3031.0,3,1,1,188.0,Northern Metropolitan,5263,1037000,Nearby,5
135,Kew,3,h,Jellis,2016-03-09,5.6,3101.0,3,1,2,396.0,Southern Metropolitan,10331,1635000,Nearby,6
136,Kew,2,h,Jellis,2016-03-09,5.6,3101.0,2,2,1,697.0,Southern Metropolitan,10331,4800000,Nearby,5
137,Kew,3,u,Jellis,2016-03-09,5.6,3101.0,1,1,1,50.0,Southern Metropolitan,10331,970000,Nearby,3
138,Kew,5,h,Jellis,2016-03-09,5.6,3101.0,3,1,1,593.0,Southern Metropolitan,10331,6240000,Nearby,5
139,Kew East,4,h,Marshall,2016-03-09,7.5,3102.0,3,1,1,593.0,Southern Metropolitan,2671,2040000,Nearby,5
140,Kew East,4,h,Marshall,2016-03-09,7.5,3102.0,3,2,2,712.0,Southern Metropolitan,2671,2490000,Nearby,7
141,Kew East,2,u,Nelson,2016-03-09,7.5,3102.0,2,1,1,50.0,Southern Metropolitan,2671,620000,Nearby,4
142,Maidstone,3,h,Sweeney,2016-03-09,9.2,3012.0,3,1,3,564.0,Western Metropolitan,3873,670000,Nearby,7
143,Maidstone,3,t,Jas,2016-03-09,9.2,3012.0,3,2,2,165.0,Western Metropolitan,3873,615000,Nearby,7
144,Maidstone,3,h,Burnham,2016-03-09,9.2,3012.0,3,1,1,576.0,Western Metropolitan,3873,715000,Nearby,5
145,Maidstone,4,h,Rendina,2016-03-09,9.2,3012.0,4,2,2,308.0,Western Metropolitan,3873,826000,Nearby,8
146,Malvern,3,h,Jellis,2016-03-09,7.4,3144.0,3,1,1,593.0,Southern Metropolitan,4675,2500000,Nearby,5
147,Malvern,4,h,Jellis,2016-03-09,7.4,3144.0,3,1,1,593.0,Southern Metropolitan,4675,3850000,Nearby,5
148,Malvern East,3,h,Marshall,2016-03-09,11.2,3145.0,3,1,1,322.0,Southern Metropolitan,8801,1490000,Nearby,5
149,Malvern East,3,h,Marshall,2016-03-09,11.2,3145.0,3,2,1,337.0,Southern Metropolitan,8801,1210000,Nearby,6
150,Malvern East,4,h,J,2016-03-09,11.2,3145.0,3,2,2,644.0,Southern Metropolitan,8801,1300000,Nearby,7
151,Malvern East,4,h,Thomson,2016-03-09,11.2,3145.0,3,2,4,727.0,Southern Metropolitan,8801,1675000,Nearby,9
152,Melbourne,1,u,RT,2016-03-09,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,400000,Nearby,3
153,Middle Park,3,h,Cayzer,2016-03-09,4.1,3206.0,3,1,1,279.0,Southern Metropolitan,2019,2600000,Nearby,5
154,Mont Albert,2,h,Lindellas,2016-03-09,11.8,3127.0,2,1,1,613.0,Eastern Metropolitan,2079,1320000,Nearby,4
155,Mont Albert,4,h,Jellis,2016-03-09,11.8,3127.0,4,2,2,1388.0,Eastern Metropolitan,2079,2850000,Nearby,8
156,Moonee Ponds,3,u,Nelson,2016-03-09,6.9,3039.0,3,2,2,50.0,Western Metropolitan,6232,670000,Nearby,7
157,Moorabbin,3,h,Buxton,2016-03-09,14.6,3189.0,3,1,3,834.0,Southern Metropolitan,2555,1224000,Nearby,7
158,Moorabbin,3,h,Buxton,2016-03-09,14.6,3189.0,3,1,3,771.0,Southern Metropolitan,2555,1020000,Nearby,7
159,Moorabbin,3,h,O'Brien,2016-03-09,14.6,3189.0,3,2,2,573.0,Southern Metropolitan,2555,1000000,Nearby,7
160,Moorabbin,1,u,Ray,2016-03-09,14.6,3189.0,1,1,1,106.0,Southern Metropolitan,2555,380500,Nearby,3
161,Newport,3,h,Sweeney,2016-03-09,8.4,3015.0,3,2,2,301.0,Western Metropolitan,5498,1025000,Nearby,7
162,Newport,3,h,Village,2016-03-09,8.4,3015.0,2,1,2,281.0,Western Metropolitan,5498,826000,Nearby,5
163,Niddrie,3,t,Barry,2016-03-09,11.2,3042.0,3,3,2,303.0,Western Metropolitan,2291,830000,Nearby,8
164,Niddrie,4,t,Barry,2016-03-09,11.2,3042.0,2,1,1,200.0,Western Metropolitan,2291,1065000,Nearby,4
165,Niddrie,3,h,McDonald,2016-03-09,11.2,3042.0,3,2,2,274.0,Western Metropolitan,2291,780000,Nearby,7
166,Niddrie,3,h,Brad,2016-03-09,11.2,3042.0,3,1,1,537.0,Western Metropolitan,2291,950000,Nearby,5
167,North Melbourne,4,h,Nelson,2016-03-09,2.3,3051.0,4,3,4,310.0,Northern Metropolitan,6821,2920000,Nearby,11
168,North Melbourne,3,h,Nelson,2016-03-09,2.3,3051.0,2,1,0,517.0,Northern Metropolitan,6821,1635000,Nearby,3
169,North Melbourne,1,u,Nelson,2016-03-09,2.3,3051.0,1,1,1,50.0,Northern Metropolitan,6821,491000,Nearby,3
170,Northcote,2,h,McGrath,2016-03-09,5.5,3070.0,2,1,1,245.0,Northern Metropolitan,11364,1286000,Nearby,4
171,Northcote,3,h,Nelson,2016-03-09,5.5,3070.0,3,1,1,215.0,Northern Metropolitan,11364,1200000,Nearby,5
172,Northcote,3,h,Nelson,2016-03-09,5.5,3070.0,3,2,2,286.0,Northern Metropolitan,11364,1382500,Nearby,7
173,Northcote,2,u,McGrath,2016-03-09,5.5,3070.0,2,2,1,50.0,Northern Metropolitan,11364,630000,Nearby,5
174,Northcote,4,h,Jellis,2016-03-09,5.5,3070.0,4,2,1,464.0,Northern Metropolitan,11364,1600000,Nearby,7
175,Oak Park,4,t,Brad,2016-03-09,11.5,3046.0,2,1,1,145.0,Northern Metropolitan,2651,670000,Nearby,4
176,Oak Park,3,h,Nelson,2016-03-09,11.5,3046.0,3,1,3,757.0,Northern Metropolitan,2651,892000,Nearby,7
177,Oak Park,2,h,Barry,2016-03-09,11.5,3046.0,2,1,2,577.0,Northern Metropolitan,2651,592000,Nearby,5
178,Oakleigh South,4,h,Woodards,2016-03-09,14.7,3167.0,3,1,2,632.0,South-Eastern Metropolitan,3692,991000,Nearby,6
179,Oakleigh South,2,h,Buxton,2016-03-09,14.7,3167.0,3,1,2,632.0,South-Eastern Metropolitan,3692,1242000,Nearby,6
180,Oakleigh South,2,t,Buxton,2016-03-09,14.7,3167.0,2,1,1,248.0,South-Eastern Metropolitan,3692,665000,Nearby,4
181,Oakleigh South,3,t,Fletchers,2016-03-09,14.7,3167.0,3,2,1,189.0,South-Eastern Metropolitan,3692,680000,Nearby,6
182,Parkville,4,h,Nelson,2016-03-09,2.6,3052.0,4,2,2,357.0,Northern Metropolitan,2309,1230000,Nearby,8
183,Pascoe Vale,3,h,Brad,2016-03-09,9.9,3044.0,2,1,2,100.0,Northern Metropolitan,7485,1120000,Nearby,5
184,Pascoe Vale,3,h,Nelson,2016-03-09,9.9,3044.0,3,1,4,560.0,Northern Metropolitan,7485,770000,Nearby,8
185,Port Melbourne,2,u,Biggin,2016-03-09,3.8,3207.0,2,2,1,50.0,Southern Metropolitan,8648,1100000,Nearby,5
186,Port Melbourne,2,u,Greg,2016-03-09,3.8,3207.0,1,1,1,50.0,Southern Metropolitan,8648,650000,Nearby,3
187,Port Melbourne,3,h,Marshall,2016-03-09,3.8,3207.0,3,1,1,593.0,Southern Metropolitan,8648,1681000,Nearby,5
188,Prahran,2,u,Hodges,2016-03-09,4.5,3181.0,2,1,1,50.0,Southern Metropolitan,7717,650000,Nearby,4
189,Prahran,1,u,hockingstuart,2016-03-09,4.5,3181.0,1,1,1,50.0,Southern Metropolitan,7717,342000,Nearby,3
190,Prahran,4,h,Marshall,2016-03-09,4.5,3181.0,3,1,1,593.0,Southern Metropolitan,7717,2680000,Nearby,5
191,Prahran,2,h,hockingstuart,2016-03-09,4.5,3181.0,2,1,1,88.0,Southern Metropolitan,7717,950000,Nearby,4
192,Prahran,2,u,Wilson,2016-03-09,4.5,3181.0,2,1,1,50.0,Southern Metropolitan,7717,781000,Nearby,4
193,Preston,3,h,Harcourts,2016-03-09,8.8,3072.0,3,1,2,644.0,Northern Metropolitan,14577,1250000,Nearby,6
194,Preston,3,h,Ray,2016-03-09,8.8,3072.0,3,1,2,584.0,Northern Metropolitan,14577,855000,Nearby,6
195,Preston,4,h,Ray,2016-03-09,8.8,3072.0,4,2,2,604.0,Northern Metropolitan,14577,930000,Nearby,8
196,Preston,4,h,Nelson,2016-03-09,8.8,3072.0,4,2,1,530.0,Northern Metropolitan,14577,900000,Nearby,7
197,Preston,3,h,Barry,2016-03-09,8.8,3072.0,3,1,1,482.0,Northern Metropolitan,14577,1030000,Nearby,5
198,Preston,4,h,Nelson,2016-03-09,8.8,3072.0,3,0,0,650.0,Northern Metropolitan,14577,1004000,Nearby,3
199,Preston,2,u,hockingstuart,2016-03-09,8.8,3072.0,1,1,1,50.0,Northern Metropolitan,14577,540000,Nearby,3
200,Preston,3,h,Barry,2016-03-09,8.8,3072.0,3,1,2,518.0,Northern Metropolitan,14577,930000,Nearby,6
201,Reservoir,3,u,Barry,2016-03-09,11.2,3073.0,1,1,1,50.0,Northern Metropolitan,21650,666000,Nearby,3
202,Reservoir,3,u,Ray,2016-03-09,11.2,3073.0,3,1,1,191.0,Northern Metropolitan,21650,475000,Nearby,5
203,Reservoir,3,h,Nelson,2016-03-09,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,738000,Nearby,5
204,Reservoir,2,t,Barry,2016-03-09,11.2,3073.0,2,1,1,145.0,Northern Metropolitan,21650,355000,Nearby,4
205,Reservoir,3,h,Stockdale,2016-03-09,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,590000,Nearby,5
206,Reservoir,2,u,Ray,2016-03-09,11.2,3073.0,2,1,1,189.0,Northern Metropolitan,21650,415000,Nearby,4
